pl_name,pl_bmasse,pl_rade,pl_dens,pl_radeerr1,pl_radeerr2,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_facility,pl_controv_flag,sy_dist
"OGLE-2016-BLG-1227L b",250.00000,13.900,0.512000,,,413.00000,-120.00000,"Microlensing","OGLE",0,
"Kepler-24 e",8.15000,2.780,2.080000,0.640,-0.640,,,"Transit","Kepler",0,1156.8100000
"Kepler-1065 b",13.40000,3.730,1.420000,0.640,-0.360,,,"Transit","Kepler",0,1122.4800000
"HD 132406 b",1887.90074,12.800,4.950000,,,206.58846,-187.51876,"Radial Velocity","Haute-Provence Observatory",0,70.7832000
"TOI-1260 c",13.20000,2.760,3.450000,0.070,-0.070,4.23000,-4.23000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,73.5977000
"HD 149143 b",422.71390,13.600,0.923000,,,47.67450,-47.67450,"Radial Velocity","Haute-Provence Observatory",0,73.2801000
"HD 99492 b",25.50000,5.440,0.870000,,,0.60000,-0.60000,"Radial Velocity","W. M. Keck Observatory",0,18.2038000
"nu Oph c",7838.32346,12.000,24.900000,,,,,"Radial Velocity","Okayama Astrophysical Observatory",0,46.2107000
"75 Cet b",787.89662,13.300,1.840000,,,23.51930,-28.60456,"Radial Velocity","Okayama Astrophysical Observatory",0,82.9613000
"gam Lib b",357.87479,13.700,0.765000,,,32.10067,-34.32547,"Radial Velocity","Okayama Astrophysical Observatory",0,47.4017000
"HD 113337 b",1035.80278,13.100,2.530000,,,119.82131,-129.99182,"Radial Velocity","Haute-Provence Observatory",0,36.1800000
"HD 28109 c",7.94300,4.230,0.577000,0.110,-0.110,4.22700,-3.04600,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,139.6110000
"K2-350 b",2.99000,1.540,4.500000,0.150,-0.110,,,"Transit","K2",0,489.3680000
"K2-342 b",4.78000,2.030,3.140000,0.130,-0.090,,,"Transit","K2",0,208.3570000
"EPIC 212587672 b",2.13000,1.260,5.850000,0.110,-0.090,,,"Transit","K2",0,320.0700000
"K2-332 b",5.48000,2.200,2.830000,0.190,-0.150,,,"Transit","K2",0,123.2020000
"K2-340 b",11.20000,3.360,1.620000,0.440,-0.320,,,"Transit","K2",0,738.1360000
"GJ 486 b",2.77000,1.289,6.660000,0.019,-0.014,0.07600,-0.07300,"Radial Velocity","Calar Alto Observatory",0,8.0742600
"TOI-6002 b",3.36000,1.650,4.110000,0.220,-0.190,,,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,32.0266000
"HIP 12961 b",114.41880,13.200,0.273000,,,22.24810,-22.24810,"Radial Velocity","La Silla Observatory",0,23.3710000
"HD 11755 b",1789.38290,12.800,4.690000,,,292.40360,-292.40360,"Radial Velocity","Bohyunsan Optical Astronomical Observatory",0,235.0450000
"HD 29985 b",1739.47487,12.800,4.560000,,,617.85842,-367.72747,"Radial Velocity","Multiple Observatories",0,31.2707000
"HD 115954 b",2685.65004,12.600,7.380000,,,193.87533,-146.20107,"Radial Velocity","Haute-Provence Observatory",0,87.6437000
"HIP 97233 b",6098.17365,12.100,18.900000,,,1157.84889,-102.97640,"Radial Velocity","Multiple Observatories",0,102.2750000
"HD 95872 b",1188.68420,13.000,2.970000,,,295.58190,-295.58190,"Radial Velocity","Multiple Facilities",0,72.2195000
"OGLE-2015-BLG-0966L b",21.00000,4.860,1.010000,,,2.00000,-2.00000,"Microlensing","OGLE",0,3300.0000000
"Teegarden's Star c",1.05000,1.020,5.440000,,,0.14000,-0.13000,"Radial Velocity","Calar Alto Observatory",0,3.8307800
"TOI-1470 b",7.32000,2.180,3.860000,0.040,-0.040,1.21000,-1.24000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,51.9503000
"HR 810 b",1970.53612,12.700,5.290000,,,158.91420,-158.91420,"Radial Velocity","La Silla Observatory",0,17.3181000
"HD 97658 b",8.30000,2.120,4.800000,0.060,-0.060,1.10000,-1.10000,"Radial Velocity","W. M. Keck Observatory",0,21.5618000
"LTT 3780 b",2.46000,1.325,5.800000,0.057,-0.058,0.19000,-0.19000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,21.9814000
