pl_name,pl_bmasse,pl_rade,pl_dens,pl_radeerr1,pl_radeerr2,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_facility,pl_controv_flag,sy_dist
"OGLE-2016-BLG-1227L b",250.00000,13.900,0.512000,,,413.00000,-120.00000,"Microlensing","OGLE",0,
"GJ 480 b",13.20000,3.690,1.440000,,,1.70000,-1.70000,"Radial Velocity","Multiple Observatories",0,14.2358000
"Kepler-276 c",16.60000,2.900,3.740000,1.270,-0.280,4.40000,-3.60000,"Transit","Kepler",0,1144.8600000
"Kepler-829 b",5.10000,2.110,2.980000,0.440,-0.180,,,"Transit","Kepler",0,1073.7600000
"K2-283 b",12.20000,3.520,1.540000,0.160,-0.160,,,"Transit","K2",0,402.9150000
"Kepler-477 b",4.94000,2.070,3.060000,0.180,-0.120,,,"Transit","Kepler",0,367.0000000
"HAT-P-15 b",616.59020,11.882,1.960000,0.785,-0.785,95.34900,-95.34900,"Transit","HATNet",0,192.5160000
"HD 149143 b",422.71390,13.600,0.923000,,,47.67450,-47.67450,"Radial Velocity","Haute-Provence Observatory",0,73.2801000
"HD 210702 b",574.63664,13.400,1.310000,,,30.82951,-30.82951,"Radial Velocity","Lick Observatory",0,54.1963000
"HIP 12961 b",114.41880,13.200,0.273000,,,22.24810,-22.24810,"Radial Velocity","La Silla Observatory",0,23.3710000
"XO-5 b",378.20000,12.780,1.060000,0.340,-0.340,9.53000,-9.53000,"Transit","XO",0,276.2110000
"HD 5608 b",534.27223,13.500,1.190000,,,25.74423,-25.74423,"Radial Velocity","Okayama Astrophysical Observatory",0,58.1105000
"HD 95872 b",1188.68420,13.000,2.970000,,,295.58190,-295.58190,"Radial Velocity","Multiple Facilities",0,72.2195000
"OGLE-2015-BLG-0966L b",21.00000,4.860,1.010000,,,2.00000,-2.00000,"Microlensing","OGLE",0,3300.0000000
"WASP-123 b",285.72917,14.773,0.521000,0.729,-0.729,11.44188,-11.44188,"Transit","SuperWASP",0,197.9960000
"tau Cet e",3.93000,1.810,3.640000,,,0.83000,-0.64000,"Radial Velocity","Multiple Observatories",0,3.6030400
"K2-254 c",5.43000,2.190,2.840000,0.240,-0.180,,,"Transit","K2",0,227.7750000
"HD 26965 b",8.47000,2.840,2.030000,,,0.47000,-0.47000,"Radial Velocity","Multiple Observatories",0,5.0354500
"EPIC 220554210 c",2.79000,1.480,4.730000,0.130,-0.100,,,"Transit","K2",0,496.2890000
"NSVS 14256825 b",4497.29450,12.300,13.300000,,,50.85280,-50.85280,"Eclipse Timing Variations","Multiple Observatories",0,820.8770000
"Kepler-1390 b",1.76000,1.180,5.890000,0.250,-0.130,,,"Transit","Kepler",0,723.4310000
"Kepler-393 c",2.33000,1.330,5.440000,0.310,-0.310,,,"Transit","Kepler",0,881.4040000
"Kepler-263 c",6.66000,2.470,2.430000,1.350,-1.350,,,"Transit","Kepler",0,754.7470000
"Kepler-1431 b",2.76000,1.470,4.770000,0.420,-0.160,,,"Transit","Kepler",0,1623.2400000
"Kepler-237 c",4.98000,2.080,3.040000,1.100,-1.100,,,"Transit","Kepler",0,657.8220000
"Kepler-1510 b",11.20000,3.360,1.620000,1.230,-0.560,,,"Transit","Kepler",0,1696.2500000
"Kepler-169 e",5.48000,2.200,2.830000,0.290,-0.290,,,"Transit","Kepler",0,406.5290000
"Kepler-145 c",79.40000,4.320,5.410000,0.120,-0.120,16.40000,-16.40000,"Transit","Kepler",0,566.8500000
"Kepler-219 c",12.50000,3.580,1.500000,0.600,-0.600,,,"Transit","Kepler",0,787.0700000
"Kepler-910 b",0.47700,0.820,4.750000,0.040,-0.030,,,"Transit","Kepler",0,400.2890000
"Kepler-1037 b",2.18000,1.280,5.710000,0.090,-0.070,,,"Transit","Kepler",0,446.9140000
"Kepler-992 b",3.26000,1.620,4.210000,0.040,-0.270,,,"Transit","Kepler",0,259.6390000
"Kepler-113 b",11.70000,1.820,10.730000,0.050,-0.050,4.20000,-4.20000,"Transit","Kepler",0,262.3510000
"Kepler-1097 b",10.70000,3.260,1.700000,0.260,-0.260,,,"Transit","Kepler",0,719.8020000
"Kepler-382 b",2.30000,1.320,5.500000,0.630,-0.630,,,"Transit","Kepler",0,935.4460000
"Kepler-1310 b",2.67000,1.440,4.910000,0.160,-0.120,,,"Transit","Kepler",0,569.1850000
